1;22,75,90,1,89,35,21,20,31,17,88,6,59,72,37,13,39,81,100,42;33,83,67,48,87,27,19,54,73,91,66,2,80,63,7,68,41,74,34,10;71,64,56,44,5,46,29,14,45,32,60,99,51,53,96,69,30,65,78,43;85,47,61,11,16,8,92,23,49,38,86,12,52,95,84,18,55,76,50,24;25,36,79,4,97,57,28,98,40,58,70,77,15,62,82,94,9,26,3,93
2;90,45,37,66,67,15,25,7,38,30,68,46,47,3,19,26,17,29,100,39;59,16,69,8,23,21,83,84,86,97,50,43,9,49,91,12,6,36,95,42;70,52,98,57,65,14,76,48,11,79,31,58,88,56,34,22,27,5,53,93;96,78,81,24,94,55,20,92,82,73,10,64,89,60,85,71,63,13,51,33;74,32,72,1,87,62,41,54,18,75,2,80,99,40,4,28,35,44,77,61
3;72,6,1,64,99,93,7,95,80,73,43,86,88,5,54,56,68,25,11,65;27,79,55,32,57,51,66,22,23,84,12,18,47,96,34,58,40,94,26,3;83,97,21,33,91,28,71,92,10,98,75,44,60,76,2,81,53,67,15,49;78,87,74,77,85,52,39,70,17,31,48,90,36,45,20,46,30,13,59,82;9,29,69,89,35,14,42,61,41,37,4,19,24,38,62,8,16,100,50,63
4;16,67,14,59,36,81,90,84,45,57,8,79,22,89,38,70,83,32,39,6;86,51,21,95,12,56,69,98,10,47,19,64,17,42,68,82,7,43,61,2;80,78,37,72,49,46,96,11,88,35,94,5,20,85,92,58,18,91,28,15;24,97,9,52,13,48,29,60,74,44,41,55,73,77,54,93,4,31,23,40;100,50,25,26,66,3,65,75,33,76,53,34,71,87,63,62,1,30,27,99
5;53,24,64,45,20,9,44,89,31,92,87,71,70,65,57,80,16,52,74,33;94,84,50,39,15,86,8,81,91,77,28,82,43,14,48,46,19,29,96,1;30,66,38,78,42,41,34,60,47,18,69,5,4,83,72,54,22,68,90,2;17,62,32,51,6,98,13,100,26,58,10,25,67,27,3,35,97,85,73,93;63,36,56,11,12,75,23,99,76,79,49,21,95,88,59,61,55,37,40,7
6;21,69,28,78,33,57,96,76,3,22,61,14,40,44,39,34,62,26,87,24;4,43,58,79,7,74,72,56,97,52,10,18,35,93,67,94,98,50,51,81;95,86,15,16,71,5,100,30,85,68,2,47,60,31,17,29,13,53,1,80;49,37,6,83,66,19,11,64,63,48,88,91,55,25,36,59,9,42,32,89;46,12,65,70,84,73,20,75,77,8,41,27,54,92,45,99,38,82,23,90
7;22,88,23,98,73,70,89,3,61,18,77,82,94,35,26,11,2,76,62,54;57,17,55,47,83,97,41,81,25,60,32,21,46,58,1,95,80,40,50,19;36,5,8,24,67,56,33,51,74,34,75,64,9,10,79,4,93,43,84,71;69,85,49,7,99,12,20,65,90,31,78,86,30,39,52,66,96,63,28,53;45,37,38,16,100,87,14,44,13,6,68,59,92,29,27,91,42,72,48,15
8;62,66,99,33,87,24,48,12,46,36,71,34,79,29,81,39,84,98,19,31;60,21,85,57,26,18,50,76,49,6,67,90,77,55,27,100,64,73,43,1;42,16,44,47,80,69,94,52,14,38,82,88,40,23,59,25,45,72,5,35;13,89,28,68,70,20,83,92,56,37,63,32,3,51,86,54,78,65,10,53;41,4,95,15,17,58,22,61,11,97,8,91,2,93,7,75,9,74,30,96
9;32,93,55,30,17,66,27,39,25,99,75,84,56,42,2,91,43,45,5,23;59,80,49,9,52,50,11,28,1,29,69,70,98,54,81,53,47,16,88,71;7,14,48,22,38,34,79,82,46,68,3,58,72,8,26,92,74,24,97,13;10,95,85,63,51,12,83,35,89,67,60,100,33,86,94,18,78,40,37,65;41,15,57,87,21,36,90,31,64,96,4,20,6,19,73,61,77,62,76,44
10;24,47,57,90,72,5,48,20,61,33,39,13,60,83,34,82,43,67,75,37;28,99,93,10,69,66,54,35,73,68,59,64,62,84,81,6,51,89,3,30;96,45,91,98,16,92,19,56,29,21,78,1,7,42,31,80,2,27,85,14;53,79,76,38,58,71,4,9,23,11,94,41,97,12,26,36,86,50,25,49;40,95,74,63,46,15,87,18,100,44,52,8,22,32,17,65,70,55,88,77
