1;3,5;2,8;9,10;1,6;7,4
2;5,7;9,1;6,10;4,8;3,2
3;9,1;2,4;8,5;10,6;7,3
4;2,9;3,1;7,6;10,4;8,5
5;8,1;9,6;5,2;7,10;4,3
6;1,6;4,8;9,10;7,2;5,3
7;8,1;9,4;7,5;3,6;2,10
8;6,9;2,8;3,10;7,4;1,5
9;1,10;8,5;7,3;9,6;4,2
10;7,4;6,9;10,3;8,5;1,2
11;4,10;9,1;2,3;8,7;6,5
12;6,9;7,5;4,2;8,3;10,1
13;4,1;9,8;3,7;2,10;5,6
14;8,1;10,6;2,7;4,3;5,9
15;5,1;6,7;8,3;4,10;2,9
16;5,2;4,6;9,8;1,7;3,10
17;1,9;4,5;10,3;6,7;8,2
18;2,10;6,4;8,1;9,3;7,5
19;7,5;10,8;6,4;1,2;9,3
20;1,7;5,2;4,8;10,6;3,9
21;8,4;3,1;2,6;9,10;7,5
22;4,1;7,6;8,5;2,3;10,9
23;8,6;9,4;1,2;7,10;5,3
24;8,5;6,1;9,2;4,3;7,10
25;4,2;6,3;10,7;1,9;8,5
26;5,3;7,4;1,6;8,2;10,9
27;7,9;6,5;1,4;3,8;2,10
28;5,2;1,6;4,8;10,7;3,9
29;10,5;2,6;4,9;8,1;7,3
30;4,8;5,9;7,6;3,10;2,1
31;7,3;6,8;9,2;5,1;4,10
32;2,1;3,10;7,9;5,4;8,6
33;6,3;5,1;10,7;9,8;4,2
34;10,1;5,3;4,2;6,8;7,9
35;8,3;10,1;9,4;5,6;7,2
36;2,1;7,4;5,3;10,9;8,6
37;9,2;7,6;10,1;5,8;3,4
38;6,4;7,5;8,1;3,9;2,10
39;6,5;7,9;10,2;8,3;1,4
40;7,3;5,8;10,4;1,2;6,9
41;7,1;10,4;6,8;2,9;5,3
42;1,7;3,9;6,4;2,5;10,8
43;2,4;5,3;10,7;6,8;1,9
44;7,8;9,1;4,5;10,2;6,3
45;10,4;5,8;6,9;1,7;3,2
46;6,3;7,5;2,10;1,4;9,8
47;2,9;7,10;8,4;6,1;3,5
48;8,4;3,2;7,1;6,5;10,9
49;4,2;5,10;3,6;7,8;1,9
50;3,9;4,2;10,6;1,8;7,5
51;9,3;6,8;4,5;7,1;10,2
52;2,9;1,7;3,4;8,5;6,10
53;9,2;5,10;6,1;7,3;4,8
54;8,2;3,7;4,1;6,10;9,5
55;6,9;8,2;1,10;5,7;3,4
56;9,10;6,8;2,4;7,5;3,1
57;8,7;3,4;10,1;2,6;5,9
58;5,8;7,10;3,1;9,4;6,2
59;3,5;9,2;10,6;4,8;7,1
60;9,3;2,10;4,7;8,6;5,1
61;2,7;5,1;6,9;4,8;10,3
62;3,6;7,2;4,5;9,10;1,8
63;6,4;3,2;7,5;9,1;10,8
64;5,7;6,9;4,1;8,10;2,3
65;2,1;9,3;5,6;7,10;4,8
66;10,9;8,4;1,6;2,7;3,5
67;6,2;9,4;1,8;3,5;7,10
68;10,8;3,2;1,9;7,4;5,6
69;6,1;10,5;4,3;7,2;9,8
70;10,5;9,2;1,7;3,6;4,8
71;5,9;4,2;7,10;3,8;1,6
72;9,7;2,8;3,10;1,5;4,6
73;9,7;8,10;3,4;2,5;6,1
74;8,5;4,3;2,10;7,9;1,6
75;5,3;10,7;2,6;4,8;9,1
76;7,2;8,5;4,9;10,6;3,1
77;10,3;4,1;2,9;5,7;8,6
78;1,9;4,7;8,3;2,6;10,5
79;7,10;4,1;6,3;8,5;9,2
80;6,3;9,4;5,1;10,7;8,2
81;6,4;9,8;3,5;2,7;1,10
82;4,7;2,10;5,3;9,6;1,8
83;9,5;10,8;7,6;2,1;4,3
84;6,3;1,4;2,7;5,10;9,8
85;4,7;1,8;9,3;10,5;2,6
86;4,6;2,3;5,7;9,1;8,10
87;3,4;1,8;5,7;9,2;6,10
88;2,8;5,10;4,1;7,9;6,3
89;5,9;8,7;6,10;4,2;3,1
90;4,9;6,5;3,2;10,1;8,7
91;6,10;9,7;8,5;2,1;4,3
92;2,7;3,8;6,5;4,10;9,1
93;7,9;3,4;5,1;2,8;6,10
94;4,2;3,5;10,7;6,8;1,9
95;3,5;6,4;8,9;1,2;7,10
96;2,1;7,9;3,6;5,10;4,8
97;7,4;2,1;5,10;6,9;8,3
98;5,9;2,4;1,3;10,8;6,7
99;10,5;3,2;6,7;4,1;8,9
100;2,3;7,10;6,1;4,5;9,8
